subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Find synonyms and antonyms of targeted words in different texts,mcq,easy,"According to the passage on antonyms, what is the antonym of the word ""hot""?",cold|warm|dry|wet,,cold,"The passage states: 'the antonym of ""hot"" is ""cold""'.",1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Find synonyms and antonyms of targeted words in different texts,mcq,easy,"According to the passage on antonyms, what is the antonym of the word ""happy""?",sad|angry|tired|glad,,sad,"The passage states: 'the antonym of ""happy"" is ""sad""'.",1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Find synonyms and antonyms of targeted words in different texts,fill_blank,medium,"The words ""big"" and ""large"" are examples of ______ because they describe something of great size.",,synonyms|antonyms|homonyms|prefixes,synonyms,The passage explains that 'big' and 'large' are synonyms since they mean the same thing.,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Find synonyms and antonyms of targeted words in different texts,short_answer,easy,What is the technical term used in the passage for words that mean the opposite of one another?,,,antonyms,The 'Did you know?' box states: 'Words that mean the opposite of one another are known as antonyms.',1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Find synonyms and antonyms of targeted words in different texts,short_answer,medium,Write one pair of synonym words given as an example in the 'Did you know?' box for synonyms.,,,"big and large (also acceptable: big and huge, happy and joyful, happy and glad, fast and quick, fast and speedy)","The examples given are: big-large-huge, happy-joyful-glad, fast-quick-speedy.",1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Find synonyms and antonyms of targeted words in different texts,true_false,easy,"According to the passage, ""fast"" and ""quick"" are synonyms.",,,True,The examples of synonyms listed include fast - quick - speedy.,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Solve word puzzles from various media,mcq,medium,"In Activity 1.3, after solving a crossword puzzle found in a newspaper, magazine, or online, how many meaningful words are pupils asked to write down?",5|10|15|20,,5,Activity 1.3 instructs pupils to 'Solve the puzzle and write 5 meaningful words in it.',1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Solve word puzzles from various media,mcq,easy,"What is the name of the puzzle, made up of a grid of mixed-up letters, that pupils are asked to solve by circling meaningful words?",crossword puzzle|spelling bee|dictation exercise|comprehension passage,,crossword puzzle,The text refers to 'the cross-word puzzle above' that pupils must study and circle words in.,1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Solve word puzzles from various media,fill_blank,medium,"In the word puzzle activity, pupils are told: ""Circle ______ meaningful words in the cross-word puzzle above and practise pronouncing them.""",,ten|five|twenty|three,ten,The instruction reads: 'Circle ten meaningful words in the cross-word puzzle above and practise pronouncing them.',1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Solve word puzzles from various media,short_answer,medium,"After circling ten meaningful words in the crossword puzzle, what are pupils asked to write for the words they found?",,,synonym and antonym pairs of the words,Instruction (ii) says: 'Write down synonym and antonym pairs of the words you have written.',1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
2023-JSS014-DRS V,Demonstrate mastery of basic English language skills,Develop vocabulary by relating words with objects in the environment,Solve word puzzles from various media,short_answer,medium,"In Activity 1.3, besides writing 5 meaningful words from a crossword puzzle, what else must a pupil write for each word to show understanding of its meaning?",,,one good sentence using the word,"Activity 1.3 point 3 states: 'For each word, write one good sentence to show that you understand its meaning.'",1,"TET(2023), ENGLISH LANGUAGE, PUPIL'S BOOK, STANDARD FIVE, TIE, DAR ES SALAAM",en
