subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kubaini thamani ya tarakimu katika namba nzima zenye tarakimu zaidi ya moja,mcq,easy,"Katika namba 6948, tarakimu 9 ipo katika thamani ya nafasi gani?",Mamoja|Makumi|Mamia|Maelfu,,Mamia,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kubaini thamani ya tarakimu katika namba nzima zenye tarakimu zaidi ya moja,fill_blank,easy,"Katika namba 4612, tarakimu iliyopo katika thamani ya nafasi ya maelfu ni ____.",,2|4|6|1,4,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kubaini thamani ya tarakimu katika namba nzima zenye tarakimu zaidi ya moja,mcq,medium,Thamani ya tarakimu 7 katika namba 7985 ni ipi?,7|70|700|7000,,7000,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kubaini thamani ya tarakimu katika namba nzima zenye tarakimu zaidi ya moja,short_answer,medium,Fafanua namba 9732 kwa kuandika thamani za tarakimu zake.,,,9732 = 9000 + 700 + 30 + 2,,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kubaini thamani ya tarakimu katika namba nzima zenye tarakimu zaidi ya moja,calculation,hard,"Namba moja ina maelfu 5, mamia 4, makumi 6 na mamoja 3. Jumlisha thamani za tarakimu hizo ili kupata namba kamili.",,,5463,5000 + 400 + 60 + 3 = 5463,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kubaini thamani ya tarakimu katika namba nzima zenye tarakimu zaidi ya moja,true_false,hard,"Katika namba 8794, thamani ya tarakimu 9 ni 90.",,,Kweli,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kusoma na kuandika namba nzima zenye tarakimu zaidi ya moja,mcq,easy,Namba 1350 husomwaje kwa maneno?,Elfu moja mia tatu hamsini|Elfu moja mia tano thelathini|Mia tatu hamsini|Elfu tatu hamsini,,Elfu moja mia tatu hamsini,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kusoma na kuandika namba nzima zenye tarakimu zaidi ya moja,fill_blank,easy,Namba 9540 kwa maneno ni elfu tisa mia tano ____.,,arobaini|hamsini|sitini|sabini,arobaini,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kusoma na kuandika namba nzima zenye tarakimu zaidi ya moja,short_answer,medium,Andika kwa numerali sentensi hii: 'Elfu tatu mia moja hamsini na tano'.,,,3155,,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kusoma na kuandika namba nzima zenye tarakimu zaidi ya moja,mcq,medium,Namba 61270 husomwaje kwa maneno?,Sitini na moja elfu mia mbili sabini|Sitini elfu mia mbili sabini|Sitini na moja elfu mia saba|Elfu sitini na moja sabini,,Sitini na moja elfu mia mbili sabini,,1,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS001-DRS III,Kumudu Misingi ya awali ya kihisabati (iii),Kuonesha uelewa wa dhana ya namba (iii),Kusoma na kuandika namba nzima zenye tarakimu zaidi ya moja,short_answer,hard,Andika kwa numerali sentensi hii: 'Kumi na tatu elfu mia moja hamsini na tano'.,,,13155,,2,"TET(2023), HISABATI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
